"País","InscPrim","2018"
"Afganistán",6544906,9
"Albania",170861,9
"Alemania",2987112,13
"América del Norte",27368825.68,11
"América Latina y el Caribe",63350601.31,13
"América Latina y el Caribe",63354465.1,13
"Andorra",4325,10
"Antigua y Barbuda",10123,11
"Arabia Saudita",3298788,9
"Argelia",4429994,10
"Armenia",153415,12
"Australia",2247875,10
"Austria",339021.8333,13
"Azerbaiyán",635153,10
"Bahamas",29504,12
"Bahrein",113878,9
"Bangladesh",17338100,5
"Barbados",20218,11
"Bélgica",821236,12
"Belice",50764,8
"Benin",2223966,6
"Bosnia y Herzegovina",159380,9
"Brasil",15951913,14
"Brunei Darussalam",39472,9
"Bulgaria",262735,11
"Burkina Faso",3206060,10
"Cabo Verde",64127,10
"Camerún",4201988,6
"Canadá",2407006,10
"Chad",2419675,10
"Chile",1540085,12
"China",101872977,9
"Chipre",57079,10
"Colombia",4303833,12
"Comoras",124240,6
"Costa Rica",483770,13
"Croacia",161740,8
"Cuba",741269,9
"Dinamarca",468362,10
"Djibouti",62979,10
"Ecuador",1932261,15
"El Salvador",662740,15
"Eritrea",349753,8
"Eslovenia",129123,9
"España",3043396,10
"Estonia",88107,9
"Eswatini",237074,7
"Filipinas",13418841,13
"Finlandia",368852,10
"Francia",4302412,10
"Gambia",350323,9
"Georgia",305368,9
"Ghana",4401194,11
"Granada",13195,12
"Grecia",643187,10
"Guatemala",2362116,16
"Hungría",373837,13
"Indonesia",29425748,9
"Irlanda",564304,10
"Islandia",32421,10
"Islas Caimán",4299,12
"Islas Turcas y Caicos",3680,13
"Islas Vírgenes Británicas",2529,12
"Israel",936214,15
"Italia",2870763,12
"Jamaica",248836,6
"Japón",6504523,9
"Kazajstán",1406967,9
"Kuwait",279956,9
"Letonia",121674,11
"Líbano",509280,10
"Liechtenstein",1999,9
"Lituania",116626,10
"Luxemburgo",38173,12
"Madagascar",4860888,5
"Malawi",4441839,8
"Maldivas",47236,7
"Malta",26532,11
"Marruecos",4322623,9
"Mauritania",655261,9
"México",14061377,14
"Mónaco",1981,11
"Mongolia",311063,12
"Montenegro",39288,9
"Mundo",729577641,10
"Mundo",729577641,10
"Myanmar",5299765,5
"Namibia",490719,7
"Noruega",447355,10
"Omán",278745,10
"Países Bajos",1175018,13
"Pakistán",22931305,12
"Perú",3592865,14
"Polonia",2277483,10
"Portugal",621660,12
"Puerto Rico",208544,13
"República de Moldova",140141,11
"República Dominicana",1226414,15
"Rumania",947931,10
"Samoa",33123,8
"San Marino",1698,10
"San Vicente y las Granadinas",13198,12
"Santa Lucía",15874,10
"Serbia",266759,8
"Seychelles",9258,10
"Sierra Leona",1369738,9
"Singapur",233553,6
"Sri Lanka",1725424,11
"Sudáfrica",7568387,9
"Suecia",893495,9
"Suiza",514664,11
"Tailandia",4900785,9
"Túnez",1201736,9
"Tuvalu",1324,8
"Ucrania",1676550,11
"Uruguay",296791,14
"Uzbekistán",2485178,12
