"País","InscPrim","InscSecu","InscSupe"
"Afganistán",6544906,3063889,370610
"África (Norte)",28398250.59,20102222.41,6825177.482
"África (subsahariana)",169853425.2,61018448.9,8248249.098
"Africa Sub-sahariana",169135185.2,60716529.9,8223737.992
"Albania",170861,268872,131833
"Alemania",2987112,6948797.42,3127927
"América del Norte",27368825.68,27529397.03,20565372.42
"América del Norte y Europa Occidental",53421585.82,64277600.91,38012677.61
"América Latina y el Caribe",63354465.1,64143436.68,28286147.05
"América Latina y el Caribe",63354465.1,64143436.68,28285435.05
"América Latina y el Caribe",63350601.31,64143436.68,28286147.05
"América Latina y el Caribe",63350601.31,64143436.68,28285435.05
"América Latina y el Caribe",63354465.1,64139595.22,28286147.05
"América Latina y el Caribe",63354465.1,64139595.22,28285435.05
"América Latina y el Caribe",63350601.31,64139595.22,28286147.05
"América Latina y el Caribe",63350601.31,64139595.22,28285435.05
"Andorra",4325,4513,629
"Arabia Saudita",3298788,3108384,1620491
"Armenia",153415,234983,102891
"Asia (Central y del Sur)",189242411,184196878.8,45562239.51
"Asia (Central)",5752061.554,8192791.533,1477341.509
"Asia (Este y Sur-oriental)",180896855,152679461.4,71752609.98
"Asia (Este)",113311602,96965271.16,52893758.72
"Asia (occidental)",25882706.93,25903392.92,12880710.57
"Asia (Sudeste)",67585253.05,55714190.26,18858851.25
"Asia (Sur)",183490349.5,176004087.3,44084898
"Asia Central",7157060.554,9939525.088,2083874.509
"Asia meridional y occidental",183490349.5,176004087.3,44084898
"Asia occidental y África del Norte",54280957.51,46005615.33,19705888.05
"Australia",2247875,2379962,1677242
"Austria",339021.8333,687386.106,430195.275
"Azerbaiyán",635153,945226,200609
"Bahrein",113878,99026,44940
"Bajar los países de ingresos medios",309877591.7,249260759.5,60801700.46
"Bangladesh",17338100,15869820,3150539
"Bélgica",821236,1179334,515530
"Belice",50764,40353,9527
"Bielorrusia",427752,649357,389327
"Bosnia y Herzegovina",159380,247714,95142
"Brasil",15951913,22863908,8741996
"Brunei Darussalam",39472,44079,10877
"Bulgaria",262735,489665,236335
"Burkina Faso",3206060,1281007,117725
"Burundi",2170884,674855,41869
"Bután",91768,76221,11944
"Cabo Verde",64127,53355,11659
"Canadá",2407006,2654199,1622693
"Chequia",583522,787114,329036
"Chile",1540085,1522145,1254839
"China",101872977,84321859,44935169
"China, Hong Kong, Región Administrativa Especial",365732,349086,298196.724
"China, Macao, Región Administrativa Especial",30169,26608,33098
"Chipre",57079,54966,47169
"Colombia",4303833,4821029,2408041
"Costa Rica",483770,476668,216700
"Croacia",161740,332460,164826
"Cuba",741269,795057,296028
"Dinamarca",468362,531247,310903
"El Salvador",662740,521576,190519
"Eslovaquia",229456,441952,144447
"Eslovenia",129123,147003,76534
"España",3043396,3371069,2051826
"Estados Árabes",47807369.51,32675599.33,11297269.16
"Estados Unidos de America",24957955.89,24871356.56,18941967.42
"Este de Asia y el Pacífico",184896263.3,156032006.6,73575927.47
"Estonia",88107,84017.25,45773.416
"Europa",40274093.92,57910187.6,28971739.6
"Europa central y oriental",20315362,33329443.25,19505567.42
"Federación Rusa",6927980,10242404,5774913
"Finlandia",368852,546469,294516
"Francia",4302412,6109604,2618729
"Georgia",305368,280425,147785
"Ghana",4401194,2677145,443693
"Granada",13195,9135,9260
"Grecia",643187,668196,766874
"Hungría",373837,808569,283350
"Indonesia",29425748,24893570,8037218
"Irlanda",564304,491761,231201
"Islandia",32421,35171,17835
"Islas Vírgenes Británicas",2529,1731,348
"Israel",936214,836774,374305
"Italia",2870763,4630438,1895990
"Japón",6504523,6995597,3861847
"Jordán",1133982,789822,320896
"Katar",153908,107537,33668
"Kazajstán",1406967,1842919,632048
"Kirguizistán",528627,675200,217693
"Letonia",121674,117326,81602
"Líbano",509280,402502,231215
"Liechtenstein",1999,3087,849.5
"Lituania",116626,232993,118287
"los países de ingresos medios altos",235779806.8,219759333.2,104011685.4
"Los pequeños Estados insulares en desarrollo",8064485.718,4439114.541,1622109.195
"Los pequeños Estados insulares en desarrollo",8064485.718,4439114.541,1406461.362
"Los pequeños Estados insulares en desarrollo",8268560.087,4654389.128,1622109.195
"Los pequeños Estados insulares en desarrollo",8268560.087,4654389.128,1406461.362
"Los pequeños Estados insulares en desarrollo",8064485.718,4654389.128,1622109.195
"Los pequeños Estados insulares en desarrollo",8064485.718,4654389.128,1406461.362
"Los pequeños Estados insulares en desarrollo",8268560.087,4439114.541,1622109.195
"Los pequeños Estados insulares en desarrollo",8268560.087,4439114.541,1406461.362
"Luxemburgo",38173,48749,7043
"Madagascar",4860888,1548208,143759
"Malta",26532,30925,15220
"Marruecos",4322623,2871043,1056257
"Mauritania",655261,236775,19844
"México",14061377,14160635,4561792
"Mónaco",1981,3426,1007
"Montenegro",39288,57085,23826
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Mundo",729577641,597118229,225070099.2
"Myanmar",5299765,4186742,932199
"Norte América y Europa",67642919.61,85439584.62,49537112.03
"Norte Macedonia",109818,155815,60110
"Noruega",447355,449330,288739
"Nueva Zelanda",388279,489898.7072,267796.1809
"Oceanía",4310471.273,3638644.702,1978565.49
"Oceanía (Australia / Nueva Zelanda)",2636154,2869860.707,1945038.181
"Omán",278745,422440,119722
"Países Bajos",1175018,1632486,889506
"Paises de altos ingresos",78439904.56,91762788.61,54721181.11
"Países de bajos ingresos",105476093.1,36331867.52,5534992.498
"países de ingresos medios",545657398.5,469020092.6,164813385.9
"Países en desarrollo sin",76150537.64,34260687.54,5513181.197
"Países menos desarrollados",156763329.9,64906996.86,9733377.743
"Pakistán",22931305,13357618,1878101
"Palestina",488184,764986,222336
"pavo",5104599,11279561,7560371
"Polonia",2277483,2392353,1492899
"Portugal",621660,767094,356390
"Puerto Rico",208544,218923,216742
"Reino Unido de Gran Bretaña e Irlanda del Norte",4892502,6173690.588,2467086.412
"República de Corea",2719358,2893979,3083800
"República de Moldova",140141,226281,87277
"República Democrática Popular de Lao",786246,678129,105439
"Ruanda",2503705,658285,75713
"Rumania",947931,1457948,538871
"San Marino",1698,1653,739
"Santa Lucía",15874,11792,2237
"Serbia",266759,534106,256172
"Seychelles",9258,7459,1123
"Singapur",233553,166709,198047
"Sri Lanka",1725424,2727965,300794
"Sudáfrica",7568387,4878960,1177684
"Suecia",893495,934541,431065
"Suiza",514664,608878,306743
"Ucrania",1676550,2376848,1614636
"Uzbekistán",2485178,3949245,299634
